id,title,artist,year,type,department
144918,Bodhisattva Maitreya Surrounded By His Retinue,,1501,Painting,Arts of Asia
130679,"Manjushri with Vajrapani and Padmapani, the Three Lords of the World",,1401,Painting,Arts of Asia
151114,Ngorchen Kunga Zangpo (1382-1456) and the Sakya Lamdre Lineage,,1301,Painting,Arts of Asia
49262,Amitayus Buddha Surrounded by One Hundred Buddhas,,1701,Painting,Arts of Asia
43700,"E6: English Library of the Queen Anne Period, 1702–50",Narcissa Niblack Thorne,1932,Miniature room,Applied Arts of Europe
28123,"Dizang (Kshitigarbha), or ""He Who Encompasses the Earth,"" Seated and Holding a Wish-Bearing Jewel (Chintamani)",,701,Metalwork,Arts of Asia
43714,"E10: English Dining Room of the Georgian Period, 1770–90",Narcissa Niblack Thorne,1932,Miniature room,Applied Arts of Europe
43704,"E7: English Drawing Room of the Early Georgian Period, 1730s",Narcissa Niblack Thorne,1932,Miniature room,Applied Arts of Europe
45323,"A4: Connecticut Valley Tavern Parlor, c. 1750",Narcissa Niblack Thorne,1937,Miniature room,Applied Arts of Europe
43718,"E11: English Entrance Hall of the Georgian Period, c. 1775",Narcissa Niblack Thorne,1932,Miniature room,Applied Arts of Europe
45327,"A5: Massachusetts Drawing Room, 1768",Narcissa Niblack Thorne,1939,Miniature room,Applied Arts of Europe
148424,Hevajra Kapaladhara and Nairatmya in Ritual Embrace (Yab-Yum),,1600,Religious/Ritual Object,Arts of Asia
140600,"Red Avalokiteshvara, Possibly as Rain God Bunga Dya in the Form of Rato Macchendranath",,1701,Painting,Arts of Asia
103305,Vajrapani Chitta Mandala (Sarvadurgati Parishodhana Tantra),,1399,Painting,Arts of Asia
144970,Two Lamas in the Sakya Lamdre Teaching Lineage,,1401,Religious/Ritual Object,Arts of Asia
142526,Milarepa on Mount Kailash,,1400,Painting,Arts of Asia
144984,Portrait of the Indian Monk Shakyaprabha (8th century),,1800,Religious/Ritual Object,Arts of Asia
34310,"Guru Rinpoche (Padmasambhava) in Multiple Forms, with Peaceful and Wrathful Meditational Deities and Protectors",,1701,Painting,Arts of Asia
276471,Untitled,Suzanne Harris,1976,Sculpture,Contemporary Art
45333,"A7: New Hampshire Entrance Hall, 1799",Narcissa Niblack Thorne,1937,Miniature room,Applied Arts of Europe
185189,Globe and Banjo,Jean Metzinger,1930,Painting,Modern Art
94144,Landscape,Jean Metzinger,1912,Painting,Modern Art
270002,"Interior. The Music Room, Strandgade 30",Vilhelm Hammershøi,1907,Painting,Painting and Sculpture of Europe
21711,Woman with a Jug,Georges Kars,1930,Painting,Modern Art
118731,Drive in the Knife,Roberto Matta,1943,Painting,Modern Art
275257,"Vietnam, Chicago, Czechoslovakia",Seymour Rosofsky,1968,Painting,Contemporary Art
150657,Necklace,Claire Zeisler,1950,Textile,Textiles
229422,Necklace,Claire Zeisler,1960,Textile,Textiles
120457,Necklace,Claire Zeisler,1960,Textile,Textiles
267226,"Studies, Possibly for Necklaces",Claire Zeisler,1970,Textile,Textiles
132519,Hunting Scene,Hanabusa Ippo,1801,Painting,Arts of Asia
132520,Hunting Scene,Hanabusa Ippo,1801,Painting,Arts of Asia
24463,Courtesan and Two Attendants,Torii Kiyonobu I,1695,Painting,Arts of Asia
249455,Beauty Reading a Love Letter by Moonlight,Toyohara Kunichika,,Painting,Arts of Asia
