,summed_tfidf
numbertoken,796.238311674545
flight,609.8104564030796
thanks,314.97998856891303
urltoken,285.2895739186155
get,269.380688047527
thank,242.97171864986143
hour,239.45313464329013
cancelled,216.59247184495928
service,211.26493445791866
customer,200.7813218400504
help,200.70569741229232
time,200.2072198622619
bag,166.8481328608736
plane,164.46878659522818
hold,163.46488874557025
please,151.4706365121538
need,149.47087952941422
still,144.26669588044692
would,142.42291120120888
airline,140.59776266371833
one,139.88488005659545
call,137.77569679910064
amp,137.0597409664485
delayed,134.7249881281105
ca,130.7006185745638
