term,mean_tfidf,doc_freq
academic,0.02339,128
term,0.02314,106
chinese,0.01651,76
science,0.01643,79
global,0.01549,90
grade,0.01482,54
major,0.01461,65
work,0.01454,71
social,0.01424,85
study,0.01417,71
electives,0.01365,86
undergraduate,0.01344,67
requirements,0.0134,54
world,0.01336,69
required,0.01292,55
disciplinary,0.01281,68
international,0.0126,56
education,0.01253,63
china,0.01237,58
introduction,0.01234,62
office,0.01225,59
math,0.01209,32
leave,0.01154,29
absence,0.01146,31
political,0.01123,56
