level,row,row_order,chapter_short,cluster_name,count,row_total,row_entropy
chapter,P1 General Information,0,P1 General Information,Campus Life & DKU Identity,14,18,0.9864
chapter,P1 General Information,0,P1 General Information,"Credit Transfer, Placement & Study Away",2,18,0.9864
chapter,P1 General Information,0,P1 General Information,Major Overviews & Tracks,2,18,0.9864
chapter,P2 Liberal Arts Education,1,P2 Liberal Arts Education,Advising & Academic Support,2,6,1.4591
chapter,P2 Liberal Arts Education,1,P2 Liberal Arts Education,Campus Life & DKU Identity,3,6,1.4591
chapter,P2 Liberal Arts Education,1,P2 Liberal Arts Education,"Credit Transfer, Placement & Study Away",1,6,1.4591
chapter,P3 The Curriculum,2,P3 The Curriculum,Advising & Academic Support,12,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,Campus Life & DKU Identity,3,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,"Credit Transfer, Placement & Study Away",14,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,"Grading, CR/NC & Academic Standing",13,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,"Leave, Withdrawal & Fees",1,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,Major Overviews & Tracks,7,52,2.4152
chapter,P3 The Curriculum,2,P3 The Curriculum,STEM Course Requirements,2,52,2.4152
chapter,P4 Admission & Aid,3,P4 Admission & Aid,Campus Life & DKU Identity,3,19,1.8129
chapter,P4 Admission & Aid,3,P4 Admission & Aid,"Credit Transfer, Placement & Study Away",6,19,1.8129
chapter,P4 Admission & Aid,3,P4 Admission & Aid,"Grading, CR/NC & Academic Standing",2,19,1.8129
chapter,P4 Admission & Aid,3,P4 Admission & Aid,"Leave, Withdrawal & Fees",8,19,1.8129
chapter,P5 Financial Information,4,P5 Financial Information,"Credit Transfer, Placement & Study Away",1,26,0.4682
chapter,P5 Financial Information,4,P5 Financial Information,"Grading, CR/NC & Academic Standing",1,26,0.4682
chapter,P5 Financial Information,4,P5 Financial Information,"Leave, Withdrawal & Fees",24,26,0.4682
chapter,P6 Academic Procedures,5,P6 Academic Procedures,Academic Integrity & Grievances,26,164,2.0217
chapter,P6 Academic Procedures,5,P6 Academic Procedures,Advising & Academic Support,2,164,2.0217
chapter,P6 Academic Procedures,5,P6 Academic Procedures,Campus Life & DKU Identity,1,164,2.0217
chapter,P6 Academic Procedures,5,P6 Academic Procedures,"Credit Transfer, Placement & Study Away",41,164,2.0217
chapter,P6 Academic Procedures,5,P6 Academic Procedures,"Grading, CR/NC & Academic Standing",64,164,2.0217
chapter,P6 Academic Procedures,5,P6 Academic Procedures,"Leave, Withdrawal & Fees",30,164,2.0217
